niftiValue,areaCaret,oldCocomacAcronym,areaCocomac,areaName,hemisphere,finalAssignment
119,RM_PFCvl,R00-PFCvl,RM-PFCvl,"ventrolateral prefrontal cortex",left,RM-PFCvl_L
120,RM_V2,R00-V2,RM-V2,"visual area 2 (secondary visual cortex)",left,RM-V2_L
121,RM_PFCm,R00-PFCm,RM-PFCm,"medial prefrontal cortex",left,RM-PFCm_L
122,RM_TCv,R00-TCv,RM-TCv,"ventral temporal cortex",left,RM-TCv_L
123,RM_VACd,R00-VACd,RM-VACd,"anterior visual area, dorsal part",left,RM-VACd_L
124,RM_V1,R00-V1,RM-V1,"visual area 1 (primary visual cortex)",left,RM-V1_L
125,RM_PFCcl,R00-PFCcl,RM-PFCcl,"centrolateral prefrontal cortex",left,RM-PFCcl_L
126,RM_A2,R00-A2,RM-A2,"secondary auditory cortex",left,RM-A2_L
127,RM_CCr,R00-CCr,RM-CCr,"retrosplenial cingulate cortex",left,RM-CCr_L
128,RM_CCp,R00-CCp,RM-CCp,"posterior cingulate cortex",left,RM-CCp_L
129,RM_CCa,R00-CCa,RM-CCa,"anterior cingulate cortex",left,RM-CCa_L
130,RM_S2,R00-S2,RM-S2,"secondary somatosensory cortex",left,RM-S2_L
131,RM_S1,R00-S1,RM-S1,"primary somatosensory cortex",left,RM-S1_L
132,RM_A1,R00-A1,RM-A1,"primary auditory cortex",left,RM-A1_L
133,RM_M1,R00-M1,RM-M1,"primary motor cortex",left,RM-M1_L
134,RM_PCi,R00-PCi,RM-PCi,"inferior parietal cortex",left,RM-PCi_L
135,RM_PCm,R00-PCm,RM-PCm,"medial parietal cortex",left,RM-PCm_L
136,RM_PFCdm,R00-PFCdm,RM-PFCdm,"dorsomedial prefrontal cortex",left,RM-PFCdm_L
137,RM_PCip,R00-PCip,RM-PCip,"intraparietal cortex",left,RM-PCip_L
138,RM_PCs,R00-PCs,RM-PCs,"superior parietal cortex",left,RM-PCs_L
139,RM_FEF,R00-FEF,RM-FEF,"frontal eye field",left,RM-FEF_L
140,RM_PFCdl,R00-PFCdl,RM-PFCdl,"dorsolateral prefrontal cortex",left,RM-PFCdl_L
141,RM_PMCm,R00-PMCm,RM-PMCm,"medial premotor cortex",left,RM-PMCm_L
142,RM_PMCdl,R00-PMCdl,RM-PMCdl,"dorsolateral premotor cortex",left,RM-PMCdl_L
151,-,-,-,"thalamic roi with major frontal connections",left,TM-F_L
152,-,-,-,"thalamic roi with major temporal connections",left,TM-T_L
153,-,-,-,"thalamic roi with major occipitoparietal connections",left,TM-OP_L
161,-,GM-Cd,GM-Cd,"caudate nucleus",left,BG-Cd_L
162,-,GM-Pu,GM-Pu,putamen,left,BG-Pu_L
163,-,GM-GP,GM-GP,pallidum,left,BG-Pa_L
164,-,RAP87-Acc,RAP87-Acc,"accumbens nucleus",left,BG-Acc_L
